/Users/tigran/workspace/dwg_parser/codes/parser.py:397: SyntaxWarning: invalid escape sequence '\P'
elem: name=S07_A01KSY9GXE layer=ADE_ET_SIBE_Wand text= ins=(543.1422319665271, 1173.665863415507, 0.0) matrix=(-1276.9536650180119, -1402.2341647250719)
elem: name=Schaltkreis_A01KSY9HXE layer=ADE_ET_SIBE_Wand-TXT text= ins=(545.4251119435339, 1161.20743154099, 0.0) matrix=(-1276.9536650180114, -1402.2341647250719)
  * MTEXT None layer=0 text='US02-1-01-02 ' ins=(545.4251119435339, 1161.20743154099, 0.0) img_pos=(2437.2851391667464, 639.2090307972358)
elem: name=Schaltkreis_A01KSY9IXE layer=ADE_ET_SIBE_Wand-TXT text= ins=(544.2879919549869, 1170.242601449986, 0.0) matrix=(-1276.9536650180119, -1402.2341647250723)
  * MTEXT None layer=0 text='S07 ' ins=(544.2879919549869, 1170.242601449986, 0.0) img_pos=(2430.580869234293, 585.9303700027349)
elem: name=S07_A01KSY9JXE layer=ADE_ET_SIBE_Wand text= ins=(759.7623144871043, 1173.025809343844, 0.0) matrix=(-1276.9536650180114, -1402.2341647250717)
elem: name=Schaltkreis_A01KSY9KXE layer=ADE_ET_SIBE_Wand-TXT text= ins=(755.132554773736, 1170.897809365277, 0.0) matrix=(-1276.9536650180114, -1402.234164725072)
  * MTEXT None layer=0 text='1,8 m ' ins=(755.132554773736, 1172.3378093507733, 0.0) img_pos=(3673.685270852217, 574.5325449460952)
elem: name=Schaltkreis_A01KSY9LXE layer=ADE_ET_SIBE_Wand-TXT text= ins=(754.6368105387285, 1175.311569320822, 0.0) matrix=(-1276.9536650180114, -1402.2341647250719)
  * MTEXT None layer=0 text='US03-1-01-02 ' ins=(754.6368105387285, 1176.7515693063178, 0.0) img_pos=(3670.7624454666616, 548.5057215322595)
elem: name=Schaltkreis_A01KSY9MXE layer=ADE_ET_SIBE_Wand-TXT text= ins=(755.5310525297223, 1173.048689343613, 0.0) matrix=(-1276.9536650180116, -1402.2341647250717)
  * MTEXT None layer=0 text='S07 ' ins=(755.5310525297223, 1174.4886893291093, 0.0) img_pos=(3676.0347472052213, 561.8522533079722)
